society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,EA015code,EA015code_label,focal_year,sub_case,comment
Ai4,Ingassana,xd370,gaam1241,Gaam,Eastern Jebel,EA015,1,Demes,1920,,
Cb15,Messiria Humr,xd464,tama1331,Tama (Chad),Tamaic,EA015,1,Demes,1940,with special reference to the Humr,
Cb24,Wodaabe Fulani,xd474,boro1274,Bororo of Kano and Zaria,Atlantic-Congo,EA015,1,Demes,1950,Wodaabe of Niger,
Cc3,Siwans,xd500,siwi1239,Siwi,Afro-Asiatic,EA015,1,Demes,1920,inhabitants of the oasis of Siwa,
Cd17,Nail,xd515,cons1245,Constantine,Afro-Asiatic,EA015,1,Demes,1920,,
Cd18,Saadi,xd516,said1239,Saidi Arabic,Afro-Asiatic,EA015,1,Demes,1920,,
Cd2,Egyptians,xd518,egyp1253,Egyptian Arabic,Afro-Asiatic,EA015,1,Demes,1950,Town and environs of Silwa,
Ce2,Portuguese,xd529,gali1257,Galician Portuguese,Indo-European,EA015,1,Demes,1950,with special reference to the village of Rio de Onor in the extreme northeast,
Ce5,Neapolitans,xd532,neap1235,Continental Southern Italian,Indo-European,EA015,1,Demes,1960,with special reference to the inhabitants of the city of Naples and its immediate environs,
Cf3,Tristan da Cunha,xd538,stan1293,English,Indo-European,EA015,1,Demes,1930,,
Ch2,Hutsuls,xd557,sout2604,Southwest Ukrainian,Indo-European,EA015,1,Demes,1890,,
Ch7,Ukranians,xd571,east2270,East Ukrainian,Indo-European,EA015,1,Demes,1930,,
Ch8,Magyar,xd572,hung1274,Hungarian,Uralic,EA015,1,Demes,1940,,
Ci11,Kurd,xd576,cent1972,Central Kurdish,Indo-European,EA015,1,Demes,1940,,
Ci3,Kumyk,xd579,kumy1244,Kumyk,Turkic,EA015,1,Demes,1900,with special reference to the Kayakent group of eastern Dagestan,
Cj5,Mutair,xd591,sout3119,South Najdi,Afro-Asiatic,EA015,1,Demes,1930,,
Cj7,Lebanese,xd593,nort3139,North Levantine Arabic,Afro-Asiatic,EA015,1,Demes,1950,with special reference to the village of Munsif,
Ea1,Sindhi,xd596,sind1272,Sindhi,Indo-European,EA015,1,Demes,1950,,
Ea6,Basseri,xd605,bass1257,Basseri,Indo-European,EA015,1,Demes,1958,Nomadic branch,
Ea7,Moghol,xd606,mogh1245,Mogholi,Mongolic,EA015,1,Demes,1950,,
Ec7,Ainu,xd635,ainu1240,Hokkaido Ainu,Ainu,EA015,1,Demes,1900,Saru Basin in Hokkaido,
Ed15a,Miyakans,xd642,miya1259,Miyako,Japonic,EA015,1,Demes,1950,with special reference to the village of Karimata,
Ed6,Min Chinese,xd649,minn1241,Min Nan Chinese,Sino-Tibetan,EA015,1,Demes,1920,with special reference to those in the hinterland of Swatow,
Ed8,Minchia,xd651,cent2004,Central Bai,Sino-Tibetan,EA015,1,Demes,1930,,
Eh7,Antandroy,xd693,tand1256,Tandroy Malagasy,Austronesian,EA015,1,Demes,1900,,
Ei18,Palaung,xd705,shwe1236,Shwe Palaung,Austroasiatic,EA015,1,Demes,1920,with special reference to the Katur subtribe,
Ei3,Burmese,xd709,nucl1310,Burmese,Sino-Tibetan,EA015,1,Demes,1950,Nondwin Village,
Ia11,Puyuma,xd734,puyu1239,Puyuma,Austronesian,EA015,1,Demes,1930,,
Ia6,Paiwan,xd746,paiw1248,Paiwan,Austronesian,EA015,1,Demes,1930,Su-Paiwan Village,
Ia7,Tagbanua,xd747,tagb1258,Tagbanwa,Austronesian,EA015,1,Demes,1950,,
Ia8,Bontok,xd748,cent2292,Central Bontoc,Austronesian,EA015,1,Demes,1900,,
Ib5,Kadazan-Dusun,xd754,cent2100,Central Dusun,Austronesian,EA015,1,Demes,1920,with special reference to the village of Sensuron,
If9,Ulithians,xd840,ulit1238,Ulithian,Austronesian,EA015,1,Demes,1900,,
Na29,Beaver,xd1045,beav1236,Beaver,Athabaskan-Eyak-Tlingit,EA015,1,Demes,1850,,
Na3,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,EA015,1,Demes,1920,Coronation Gulf,
Nd15,Sinkaitk,xd1147,sout2963,Southern Okanogan,Salishan,EA015,1,Demes,1880,,
