society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,EA012code,EA012code_label,focal_year,sub_case,comment
Ab7,Nyaneka,xd30,nyan1305,Nyaneka,Atlantic-Congo,EA012,1,Avunculocal,1920,"Banianeka, Munyaneka, Ovanyaneka, Vanyaneka",
Ac10,Chewa,xd34,chew1246,Chewa,Atlantic-Congo,EA012,1,Avunculocal,1920,,
Ac11,Luvale,xd35,luva1239,Luvale,Atlantic-Congo,EA012,1,Avunculocal,1930,,
Ac12,Chokwe,xd36,chok1245,Chokwe,Atlantic-Congo,EA012,1,Avunculocal,1920,,
Ac13,Tonga,xd37,tong1321,Tonga (Nyasa),Atlantic-Congo,EA012,1,Avunculocal,1950,,
Ac14,Bakongo,xd38,sans1272,Cimbala-Cizali,Atlantic-Congo,EA012,1,Avunculocal,1900,,
Ac15,Mbala,xd39,mbal1257,Mbala,Atlantic-Congo,EA012,1,Avunculocal,1900,,
Ac16,Mitsogho,xd40,tsog1243,Tsogo,Atlantic-Congo,EA012,1,Avunculocal,1940,,
Ac18,Sundi,xd42,koon1244,South-Central Kikongo,Atlantic-Congo,EA012,1,Avunculocal,1910,,
Ac2,Pende,xd44,phen1239,Phende,Atlantic-Congo,EA012,1,Avunculocal,1920,,
Ac20,Yaka,xd45,yaka1269,Yaka-Pelende-Lonzo,Atlantic-Congo,EA012,1,Avunculocal,1920,,
Ac21,Bunda,xd46,mpuo1241,Mbuun,Atlantic-Congo,EA012,1,Avunculocal,1910,,
Ac22,Dzing,xd47,ding1239,Ding,Atlantic-Congo,EA012,1,Avunculocal,1930,,
Ac23,Lele,xd48,lele1265,Lele (Democratic Republic of Congo),Atlantic-Congo,EA012,1,Avunculocal,1950,with special reference to the western Lele,
Ac24,Sakata,xd49,saka1287,Sakata,Atlantic-Congo,EA012,1,Avunculocal,1910,,
Ac25,Songo,xd50,song1299,Nsong,Atlantic-Congo,EA012,1,Avunculocal,1930,with reference to the tribe of this name on the Luniunga and Gobari rivers,"Entry follows Richards; Beaucorps reports Virilocal (code ""10"")"
Ac26,Yanzi,xd51,yans1239,Yansi,Atlantic-Congo,EA012,1,Avunculocal,1920,,
Ac27,Luchazi,xd52,luch1239,Luchazi,Atlantic-Congo,EA012,1,Avunculocal,1930,,
Ac29,Luwa,xd54,sond1250,Sonde,Atlantic-Congo,EA012,1,Avunculocal,1930,,
Ac31,Buye,xd57,buyu1239,Buyu,Atlantic-Congo,EA012,1,Avunculocal,1910,,
Ac32,Kaonde,xd58,kaon1241,Kaonde,Atlantic-Congo,EA012,1,Avunculocal,1920,,
Ac33,Lala,xd59,lala1264,Lala-Bisa,Atlantic-Congo,EA012,1,Avunculocal,1940,,
Ac34,Luapula,xd60,luun1238,Luunda,Atlantic-Congo,EA012,1,Avunculocal,1940,,
Ac35,Shila,xd61,luba1250,Luba-Katanga,Atlantic-Congo,EA012,1,Avunculocal,1900,,
Ac4,Kuba,xd66,bush1247,Bushoong,Atlantic-Congo,EA012,1,Avunculocal,1910,"with special reference to the Bushoong, the central subtribe",
Ac41,Makonde,xd68,mako1251,Makonde,Atlantic-Congo,EA012,1,Avunculocal,1900,,
Ac6,Ndembu,xd72,lund1266,Lunda,Atlantic-Congo,EA012,1,Avunculocal,1930,,
Ac8,Yombe,xd74,yomb1244,Yombe,Atlantic-Congo,EA012,1,Avunculocal,1930,,
Ad51,Ngulu,xd122,ngul1246,Ngulu,Atlantic-Congo,EA012,1,Avunculocal,1930,,
Ae54,Kom,xd176,komc1235,Kom (Cameroon),Atlantic-Congo,EA012,1,Avunculocal,1950,,
Af3,Ashanti,xd208,asan1239,Asante,Atlantic-Congo,EA012,1,Avunculocal,1900,Kumasi State,
Af44,Alagya,xd224,alla1248,Alladian,Atlantic-Congo,EA012,1,Avunculocal,1900,,
Af9,Baule,xd243,baou1238,Baoulé,Atlantic-Congo,EA012,1,Avunculocal,1900,,
Ag8,Coniagui,xd296,wame1240,Wamey,Atlantic-Congo,EA012,1,Avunculocal,1910,with special reference to the Coniagui,
Ah26,Ndoro,xd316,ndoo1241,Ndoola,Atlantic-Congo,EA012,1,Avunculocal,1920,,
Ah30,Longuda,xd321,long1389,Longuda,Atlantic-Congo,EA012,1,Avunculocal,1920,,
Ah6,Gure,xd333,gbir1241,Gbiri-Niragu,Atlantic-Congo,EA012,1,Avunculocal,1920,,
Ai38,Korongo,xd368,kron1241,Krongo,Kadugli-Krongo,EA012,1,Avunculocal,1930,,
Ai39,Mesakin,xd369,ngil1242,Ngile,Narrow Talodi,EA012,1,Avunculocal,1940,,
Cc13,Udalan Tuareg,xd491,timb1263,Timbuktu,Afro-Asiatic,EA012,1,Avunculocal,1920,,
If1,Palauans,xd824,pala1344,Palauan,Austronesian,EA012,1,Avunculocal,1940,"Ulimang, Badeldaob Island",
Ig1,Siuai,xd841,siwa1245,Siwai,South Bougainville,EA012,1,Avunculocal,1940,Northeastern group,
Ig2,Trobriands,xd852,kili1267,Kilivila,Austronesian,EA012,1,Avunculocal,1910,Kiriwina Island,
Ig20,Kaoka,xd853,long1395,Longgu,Austronesian,EA012,1,Avunculocal,1920,with special reference to the village of Longgu,
Ig21,Tangu,xd854,tang1355,Tanggu,Lower Sepik-Ramu,EA012,1,Avunculocal,1930,with special reference to Boieng Island,
Ih1,Mota,xd862,mota1237,Mota,Austronesian,EA012,1,Avunculocal,1890,,
Na27,Tahltan,xd1043,tahl1239,Tahltan,Athabaskan-Eyak-Tlingit,EA012,1,Avunculocal,1870,,
Nb1,Haida,xd1068,nort2938,Northern Haida,Haida,EA012,1,Avunculocal,1890,Masset Town,
Nb22,Tlingit,xd1082,tlin1245,Tlingit,Athabaskan-Eyak-Tlingit,EA012,1,Avunculocal,1880,with special reference to the Chilkat,
Nb5,Eyak,xd1102,eyak1241,Eyak,Athabaskan-Eyak-Tlingit,EA012,1,Avunculocal,1890,Eyak Tribe,An inference from conflicting residence data confirmed by De Laguna as probably correct
Nb7,Tsimshian,xd1104,nucl1649,Southern-Coastal Tsimshian,Tsimshian,EA012,1,Avunculocal,1880,,
Nb8,Haisla,xd1105,hais1244,Haisla,Wakashan,EA012,1,Avunculocal,1880,,
Sb6,Wayuu,xd1331,wayu1243,Wayuu,Arawakan,EA012,1,Avunculocal,1940,Goajiro Tribe,
Sc6,Saramaccan ,xd1349,sara1340,Saramaccan,Indo-European,EA012,1,Avunculocal,1920,Upper Suriname River; Akwa on Morini River,
Aa1,!Kung,xd1,juho1239,South-Eastern Ju,Kxa,EA012,2,Ambilocal,1950,Nyai Nyae region,
Aa8,/Xam,xd8,xamm1241,/Xam,Tuu,EA012,2,Ambilocal,1850,,
Aa9,Hadza,xd9,hadz1240,Hadza,,EA012,2,Ambilocal,1910,Hatsa Kindiga Tribe,
Ai4,Ingassana,xd370,gaam1241,Gaam,Eastern Jebel,EA012,2,Ambilocal,1920,,
Ce4,French Basques,xd531,labo1236,Labourdin,Basque,EA012,2,Ambilocal,1930,Labourd,
Cg1,Dutch,xd541,dutc1256,Dutch,Indo-European,EA012,2,Ambilocal,1950,with special reference to the village of Anderen in Anlo parish of Drente province,
Ch6,Byelorussians,xd570,bela1254,Belarusian,Indo-European,EA012,2,Ambilocal,1910,,
Cj4,Babylonians,xd590,akka1240,Akkadian,Afro-Asiatic,EA012,2,Ambilocal,-2000,City and environs of Babylon,
Eg1,Chenchu,xd672,chen1255,Chenchu,Dravidian,EA012,2,Ambilocal,1940,with special reference to the forest group,
Eh1,Andamanese,xd686,akab1249,Aka-Bea,Great Andamanese,EA012,2,Ambilocal,1870,,
Ej14,Senoi,xd721,sema1266,Semai,Austroasiatic,EA012,2,Ambilocal,1960,with special reference to the eastern Semai,
Ia13,Badjau Tawi-Tawi,xd736,sout2918,Southern Sama,Austronesian,EA012,2,Ambilocal,1960,Tawi-Tawi and adjacent islands,
Ia2,Sagada,xd742,nort2877,Northern Kankanay,Austronesian,EA012,2,Ambilocal,1950,,
Ia3,Ifugao,xd743,tuwa1243,Tuwali Ifugao,Austronesian,EA012,2,Ambilocal,1920,Kiangan Group,
Ia4,Subanun,xd744,cent2089,Central Subanen,Austronesian,EA012,2,Ambilocal,1950,with special reference to the Eastern Subanun,
Ib1,Iban,xd750,iban1264,Iban,Austronesian,EA012,2,Ambilocal,1950,"Ulu Ai Group, Baleh",
Ib8,Anak Dalam,xd757,kubu1239,Kubu,Austronesian,EA012,2,Ambilocal,1900,with special reference to the Ridan group,
Ic1,Macassarese,xd759,maka1311,Makasar,Austronesian,EA012,2,Ambilocal,1940,Borongloe,
Ie34,Bgu,xd812,bong1287,Bonggo,Austronesian,EA012,2,Ambilocal,1960,,
If3,Majuro,xd834,rata1243,Ratak,Austronesian,EA012,2,Ambilocal,1940,With special reference to the inhabitants of Majuro,
If4,Ifaluk,xd835,nucl1479,Nuclear Woleaian,Austronesian,EA012,2,Ambilocal,1940,with special reference to the inhabitants of Ifaluk atoll,
Ig3,Kurtatchi,xd855,tinp1237,Tinputz,Austronesian,EA012,2,Ambilocal,1930,,
Ig8,Simboese,xd860,simb1256,Simbo,Austronesian,EA012,2,Ambilocal,1910,,
Ii1,American Samoans,xd876,samo1305,Samoan,Austronesian,EA012,2,Ambilocal,1920,with special reference to American Samoa,
Ii7,Kapingamarangi,xd886,kapi1249,Kapingamarangi,Austronesian,EA012,2,Ambilocal,1910,,
Ij5,Raroians,xd894,tuam1242,Tuamotuan,Austronesian,EA012,2,Ambilocal,1900,,
Ij6,Hawaiians,xd895,hawa1245,Hawaiian,Austronesian,EA012,2,Ambilocal,1800,,
Ij8,Tahitians,xd897,tahi1242,Tahitian,Austronesian,EA012,2,Ambilocal,1900,,
Na12,Nunamiut,xd1029,nort2944,North Slope Inupiatun,Eskimo-Aleut,EA012,2,Ambilocal,1950,,
Na14,Inughuit (Northern Greenland),xd1031,pola1254,Polar Eskimo,Eskimo-Aleut,EA012,2,Ambilocal,1880,,
Na2,Tareumiut,xd1036,nort2944,North Slope Inupiatun,Eskimo-Aleut,EA012,2,Ambilocal,1880,,
Na21,Caribou Inuit,xd1038,cari1277,Kivalliq,Eskimo-Aleut,EA012,2,Ambilocal,1900,,
Na37,Rainy River Ojibwe,xd1053,rain1239,Rainy River Ojibwa,Algic,EA012,2,Ambilocal,1880,,
Na5,Naskapi,xd1063,nask1242,Naskapi,Algic,EA012,2,Ambilocal,1890,"with special reference to the northern bands (Barren Ground, Ungava, White Whale River)",
Nb33,Chimariko,xd1094,chim1301,Chimariko,,EA012,2,Ambilocal,1860,,
Nb37,Lassik,xd1098,wail1244,Wailaki,Athabaskan-Eyak-Tlingit,EA012,2,Ambilocal,1860,,
Nb39,Sinkyone,xd1100,wail1244,Wailaki,Athabaskan-Eyak-Tlingit,EA012,2,Ambilocal,1860,,
Nc15,Coast Yuki,xd1113,yuki1243,Yuki,Yuki-Wappo,EA012,2,Ambilocal,1860,,
Nc17,Northern Pomo,xd1115,nort2966,Northern Pomo,Pomoan,EA012,2,Ambilocal,1860,with special reference to those of Kalekau,
Nc18,Eastern Pomo,xd1116,east2545,Eastern Pomo,Pomoan,EA012,2,Ambilocal,1860,"Clear Lake, Village of Cignon",
Nc20,Wappo,xd1119,wapp1239,Wappo,Yuki-Wappo,EA012,2,Ambilocal,1860,,
Nc22,Patwin,xd1121,patw1250,Patwin,Wintuan,EA012,2,Ambilocal,1850,with special reference to the Hill Patwin,
Nd15,Sinkaitk,xd1147,sout2963,Southern Okanogan,Salishan,EA012,2,Ambilocal,1880,,
Nd21,Tagotoka,xd1154,nort1551,North Northern Paiute,Uto-Aztecan,EA012,2,Ambilocal,1870,,
Nd23,Atsakudokwa,xd1156,nort1551,North Northern Paiute,Uto-Aztecan,EA012,2,Ambilocal,1870,,
Nd24,Kidutokado,xd1157,nort1551,North Northern Paiute,Uto-Aztecan,EA012,2,Ambilocal,1870,,
Nd26,Wadatkuht,xd992,sout2967,South Northern Paiute,Uto-Aztecan,EA012,2,Ambilocal,1870,,Not specifically reported; inferred from the adjacent Tasiget Paiute
Nd28,Toedokado,xd1161,sout2967,South Northern Paiute,Uto-Aztecan,EA012,2,Ambilocal,1870,,
Nd29,Tunava (Deep Springs and Fish Lake),xd1162,mono1275,Mono (USA),Uto-Aztecan,EA012,2,Ambilocal,1870,including the Deep Springs Valley and Fish Lake Valley groups,
Nd33,Beatty,xd1167,pana1305,Panamint,Uto-Aztecan,EA012,2,Ambilocal,1870,including the Belted Range group,
Nd34,Lida Shoshoni,xd1168,west2622,Western Shoshoni,Uto-Aztecan,EA012,2,Ambilocal,1870,,
Nd37,Railroad Valley Shoshoni,xd1171,west2622,Western Shoshoni,Uto-Aztecan,EA012,2,Ambilocal,1870,,
Nd38,Ely Shoshoni,xd1172,west2622,Western Shoshoni,Uto-Aztecan,EA012,2,Ambilocal,1870,,
Nd39,Spring Valley Shoshoni,xd995,west2622,Western Shoshoni,Uto-Aztecan,EA012,2,Ambilocal,1870,including the Shoshoni of Snake and Antelope Valleys,
Nd42,Elko Shoshoni,xd1177,west2622,Western Shoshoni,Uto-Aztecan,EA012,2,Ambilocal,1870,"including the Carlin, Halleck, and Wells groups",
Nd45,Bohogue,xd1180,nort2955,Northern Shoshoni,Uto-Aztecan,EA012,2,Ambilocal,1860,,
Nd5,Hukundika,xd1185,nort2955,Northern Shoshoni,Uto-Aztecan,EA012,2,Ambilocal,1870,,
Nd52,Shivwits,xd1188,sout2969,Southern Paiute,Uto-Aztecan,EA012,2,Ambilocal,1860,"including the Suwuntsu (St. George), Gunlock, and Uinkaret groups of Southern Paiute",
Nd54,Chemehuevi,xd1190,chem1251,Chemehuevi,Uto-Aztecan,EA012,2,Ambilocal,1860,Colorado River Reservation,
Nd55,Southern Paiute (Las Vegas),xd1189,sout2969,Southern Paiute,Uto-Aztecan,EA012,2,Ambilocal,1860,"including the Pahrump, Ash Medows, and Tule Springs groups",
Nd6,Washo,xd1196,wash1253,Washo,,EA012,2,Ambilocal,1850,,
Nd66,Yavapai,xd1203,yava1252,Yavapai,Cochimi-Yuman,EA012,2,Ambilocal,1870,with exdlusive reference to the Northeastern Yavapai,
Nd67,Tolkepaya,xd1204,yava1252,Yavapai,Cochimi-Yuman,EA012,2,Ambilocal,1870,,
Ne16,Karankawa,xd1215,kara1289,Karankawa,,EA012,2,Ambilocal,1800,,
Ne3,Comanche,xd1222,coma1245,Comanche,Uto-Aztecan,EA012,2,Ambilocal,1870,Comanche Tribe,
Nf7,Fox,xd1241,mesk1242,Meskwaki,Algic,EA012,2,Ambilocal,1830,Tama Reservation,
Ng4,Penobscot,xd1253,peno1243,Penobscot,Algic,EA012,2,Ambilocal,1900,,
Nh12,Santa Ana,xd1262,sant1426,Santa Ana,Keresan,EA012,2,Ambilocal,1920,,
Nh13,Acoma,xd1263,acom1246,Acoma,Keresan,EA012,2,Ambilocal,1920,,
Nh21,Mojave,xd1272,moha1256,Mohave,Cochimi-Yuman,EA012,2,Ambilocal,1850,Fort Mohave and Colorado River Reservation,
Nh23,Kewyipaya,xd1274,yava1252,Yavapai,Cochimi-Yuman,EA012,2,Ambilocal,1870,,
Nh27,Kewa,xd1278,sant1425,Santo Domingo,Keresan,EA012,2,Ambilocal,1930,,
Ni3,Huichol,xd1288,huic1243,Huichol,Uto-Aztecan,EA012,2,Ambilocal,1920,Huichol Tribe,
