society,sccs_id,RI_factor,TSD_factor
Nama Hottentot,1,-3.3251284352,-0.685392161916
Kung Bushmen,2,-4.0791783852,-2.6407297236
Thonga,3,0.420912349406,0.494142376528
Lozi,4,0.24627670734172,0.0981156493728
Mbundu,5,0.670163513252,0.8825737797556
Suku,6,-0.25164748821,0.7730114567472
Bemba,7,-0.2297647635844,0.4723425333408
Nyakyusa,8,0.5280504804052,-0.22719655914
Hadza,9,-5.349551932,-4.476944596
Luguru,10,1.345718714628,-0.3822688693872
Kikuyu,11,2.46632902484,-0.225399047224
Ganda,12,2.2313784227972002,1.51519280864
Mbuti,13,-6.162905648,-4.786364908
Nkundo Mongo,14,0.1425338690468,0.487067135636
Banen,15,0.670017676614,0.0086260986916
Tiv,16,0.9064342576012,-0.2614451369012
Ibo,17,2.6131257289,0.4873070464452
Fon,18,1.610740271066,1.995321547196
Ashanti,19,1.278958968,1.0052930866952
Mende,20,1.430131885616,0.8366318499772
Wolof,21,2.356270353012,2.1500238648
Bambara,22,2.28696498768,1.58053314448
Tallensi,23,3.06472050516,0.0354428458176
Songhai,24,2.19308077016,1.237439006108
Pastoral Fulani,25,-1.718075838844,-1.70510926456
Hausa,26,3.3153763948,2.46268915896
Massa (Masa),27,1.3450614340952,-1.035257179088
Azande,28,0.0712300078112,0.8115330571024
Fur (Darfur),29,1.942625244908,2.062375057292
Otoro Nuba,30,0.9491215157656,-0.6387741506064
Shilluk,31,1.287226058398,0.319791053492
Mao,32,0.17176759618324,-0.8247538830776
Kaffa (Kafa),33,1.733703634768,1.688136660412
Masai,34,-2.1123164143,-1.109930729468
Konso,35,3.7281911632,0.7117735334348
Somali,36,-0.469761450908,0.47796220116120003
Amhara,37,2.8850242404,2.9413480084
Bogo,38,-0.528850825036,-0.0970944546064
Kenuzi Nubians,39,1.93811672492,0.6801753139948
Teda,40,-2.272543961276,-0.087730226742136
Tuareg,41,-1.865759666884,0.80784021598
Riffians,42,3.21221886044,2.2982696616072
Egyptians,43,5.746540812,4.289694444
Hebrews,44,3.5015323018,3.1117671232
Babylonians,45,6.038991278,4.78437326
Rwala Bedouin,46,-2.9420670376,0.2294238285676
Turks,47,3.68461752872,4.3801281748
Gheg Albanians,48,1.290556246608,1.529731059424
Romans,49,6.137544276,4.840017604
Basques,50,3.46408526832,3.571261662
Irish,51,2.7100826896,3.3819810384
Lapps,52,-2.13615539024,-0.886694743144
Yurak Samoyed,53,-3.0085456896,-1.03589002296316
Russians,54,3.8557397706,4.428606276
Abkhaz,55,1.3535476399092,1.2986127370156
Armenians,56,3.1916903176,3.001056406
Kurd,57,4.5939712804,2.41872423024
Basseri,58,-1.1949524131784,0.39215145758
Punjabi (West),59,4.391843392,3.945082812
Gond,60,-0.1519081451144,0.06848288175680001
Toda,61,-0.9655994071488,-1.3898624076
Santal,62,1.959202707296,0.084269799637600007
Uttar Pradesh,63,6.533325132,5.328160392
Burusho,64,1.40599862221116,1.0876296732052
Kazak,65,-0.9730869633272,1.059369814294
Khalka Mongols,66,-1.127573035556,1.628286398492
Lolo,67,0.8000263456356,1.117326481328
Lepcha,68,1.504304534244,0.3032708601528
Garo,69,1.516261350616,0.40119418107372
Lakher,70,0.5056060117648,0.4363465096846
Burmese,71,5.095891356,4.5391216388
Lamet,72,-1.4228136217636,-1.55686885918
Vietnamese,73,4.776519648,3.9290219792
Rhade,74,0.5377587385176,-0.6514374742676
Khmer,75,3.805993109,3.564969952
Siamese,76,6.523610432,5.347386264
Semang,77,-3.7298367116,-3.1082751948
Nicobarese,78,0.8633195228756,-0.760629558218
Andamanese,79,-2.51615003852,-2.2664354514
Vedda,80,-2.65952530384,-1.868632444904
Tanala,81,0.2719792092756,0.0251015501328
Negri Sembilan,82,4.5303207712,2.4120579324799998
Javanese,83,5.367505684,4.891955848
Balinese,84,4.719287456,3.875674416
Iban,85,-0.0983020831624,-0.8402240714988
Badjau,86,-2.24868513776,-2.08888205332
Toradja,87,0.262412149358,0.0401266117008
Tobelorese,88,0.7380876087956,0.4862971886308
Alorese,89,1.79427075938,0.2583791601216
Tiwi,90,-4.1329921976,-3.34842135432
Aranda,91,-4.62488946,-2.65416278464
Orokaiva,92,-0.4181850241252,-1.86507667248
Kimam,93,0.2043478389956,-2.166981882272
Kapauku,94,1.1933841887268,-0.10233021046328
Kwoma,95,0.60814208968,-0.8339551127332
Manus,96,0.5912765644912,-0.419037662776
New Ireland,97,0.3008317662452,-1.128230853192
Trobrianders,98,1.13044276492,-0.5126627831764
Siuai,99,0.631345854756,-0.43670062079736
Tikopia,100,2.02091659978,-0.53927319780252
Pentecost,101,0.392505813228,-1.1243784707172
Mbau Fijians,102,2.0834569670904,0.1897590060896
Ajie,103,0.7671251538,-0.3977036930474
Maori,104,-0.2459290824568,-0.4324194008512
Marquesans,105,1.1941473859664,-0.17609295486812
Western Samoans,106,1.822505883816,-0.2864143756464
Gilbertese,107,1.3401610048872,-0.2574814850632
Marshallese,108,1.3455482824728,0.1720891359232
Trukese,109,1.64125390006,-0.8416099475804
Yapese,110,1.17760268514772,0.51991685710896
Palauans,111,1.181284132638,0.3085381288088
Ifugao,112,2.101179296252,-0.2502335301924
Atayal,113,-0.285347145308,-0.3020902361848
Chinese,114,6.553106088,5.343022932
Manchu,115,2.9458570066,1.0061067754736
Koreans,116,5.0811874992,4.4904525452
Japanese,117,6.487482492,5.346424668
Ainu,118,-2.2755828788,-1.557879986576
Gilyak,119,-2.9141707828,-1.054958361428
Yukaghir,120,-4.103497014,-1.353022191992
Chukchee,121,-2.67965885424,-0.94180006536
Ingalik,122,-2.6869369972,-0.9419652707388
Aleut,123,-1.3965484016828,-1.134965668188
Copper Eskimo,124,-3.3722146956,-2.203970439348
Montagnais,125,-3.2639765812,-2.351321137068
Micmac,126,-3.5671438696,-1.772743888372
Saulteaux,127,-2.5581123274,-1.29255208521424
Slave,128,-2.54955566768,-1.851501886884
Kaska,129,-3.4444269544,-2.58245388024
Eyak,130,-2.58652498472,-1.315822428876
Haida,131,-1.821188812192,-0.1008872382172
Bellacoola,132,-1.1974255522472,-0.7492836129664
Twana,133,-1.9235767899,-0.5972989863924
Yurok,134,-1.1455460570044,-1.773884189848
Pomo (Eastern),135,-1.60052925835204,-0.8562359983796
Yokuts (Lake),136,-1.1970095576872,-1.3064013324948
Paiute (North.),137,-2.9082989472,-2.37337726468
Klamath,138,-2.8573342714,-1.799037213044
Kutenai,139,-2.663338129,-1.21349903258
Gros Ventre,140,-3.90602094816,-1.06802049543096
Hidatsa,141,-0.7993143786576,-1.257876298188
Pawnee,142,-1.293851685984,-0.2939704627992
Omaha,143,-1.16822035002,-0.89664737709322
Huron,144,0.39974566986,-0.3687738293164
Creek,145,-0.5408105643312,0.26498111611964
Natchez,146,0.5445830319096,0.4504685906424
Comanche,147,-4.3395447224,-2.18862723812
Chiricahua,148,-3.3330528732,-1.57292791288
Zuni,149,1.4025061744684,0.6100786227644
Havasupai,150,-1.490524025292,-1.425416871808
Papago,151,0.0865181655136,-0.807312856544
Huichol,152,0.035401542608,-0.2743445908356
Aztec,153,3.753611498,2.65640274
Popoluca,154,1.089835186568,-0.5442117485496
Quiche,155,1.911085604668,0.513397144484
Miskito,156,0.1478650684496,-0.702782840548
Bribri,157,0.0840411892708,-1.19490442749144
Cuna (Tule),158,1.287757429872,0.4697600511684
Goajiro,159,-2.406716332,-0.29629009110656
Haitians,160,3.540814734,3.0588097628
Callinago,161,0.36489446310808,-0.7129986478468
Warrau,162,-2.7304207812,-1.673501712008
Yanomamo,163,-1.0602769454192,-2.44534987632
Carib (Barama),164,-1.758891948016,-1.71974291056
Saramacca,165,0.1272012955798,-0.6135898060112
Mundurucu,166,-1.1845707399584,-1.789644041684
Cubeo (Tucano),167,-0.6874645402,-1.423757923536
Cayapa,168,0.13329626636924,-1.5313744238992
Jivaro,169,-1.6940815213464,-2.4448442806
Amahuaca,170,-1.944885809432,-2.50054133312
Inca,171,1.5347994814188,2.1005457442
Aymara,172,3.29285740364,0.68325990930164
Siriono,173,-3.1461427292,-2.3951509224
Nambicuara,174,-2.5046271116,-2.04075096684
Trumai,175,-0.762744749052,-1.67257048088
Timbira,176,-0.7434222211616,-1.323276826036
Tupinamba,177,-0.7290243593476,-0.7803161777952
Botocudo,178,-4.904773908,-3.3882908726
Shavante,179,-2.61089422664,-2.8308853608
Aweikoma,180,-5.436613596,-3.5480273988
Cayua,181,-2.2984612824,-1.987381823128
Lengua,182,-3.0847772616,-1.465393475796
Abipon,183,-3.86094109232,-1.2386884317392
Mapuche,184,1.95208786604,0.715044261422896
Tehuelche,185,-4.0848153168,-1.871971302948
Yahgan,186,-4.36104664,-3.2477242548
Dogon,901,1.521203412184,1.1970495870552
Kanuri,902,3.3270456148,3.1045301892
Shluh,903,1.750643978484,1.812518150924
Libyan Bedouin,904,-0.4395407442,-0.0974316233312
Serbs,905,4.827679792,3.4988558312
Yakut,906,-0.4168494155204,3.1761115192
Sinhalese,907,5.55586208,4.637754928
Khasi,908,0.9787213745336,1.61848507948
Lau Fijians,909,1.189134187416,1.0739046111628
Taiwan Hokkien,910,5.333131288,4.378009352
Highland Scots,911,1.046400805224,2.429379487296
Bahia Brazilians,912,3.21737515784,2.8340754764
Tlingit,913,-2.25122804808,-0.91667878990748
Blackfoot,914,-4.2296325388,-1.631989445812
Iroquois,915,-0.1520480377272,0.2556407606036
Hopi,916,0.679912190282,-0.0295063970712
Tarahumara,917,-0.341627994104,-1.0949463469692
Tzeltal,918,1.634274353348,0.026007696322800002
Kogi,919,0.640366831852,-0.8539803372452
Ona,920,-5.115079672,-2.9080253632
Mataco,921,-1.512827416532,-1.0252912921912
Bororo,922,-2.20792093392,-1.86589691548
