"society_id","society_name","KII_score","community_organization","community_organization_code","community_organization_focal_year","domestic_organization","domestic_organization_code","domestic_organization_focal_year","marital_residence","marital_residence_code","marital_residence_focal_year","polygamy","polygamy_code","polygamy_focal_year","cousin_marriage","cousin_marriage_code","cousin_marriage_focal_year","lineage_organization","lineage_organization_code","lineage_organization_focal_year","cousin_marriage_code_1","polygamy_code_1","domestic_organization_code_1","marital_residence_code_1","coresidensy_ext_families_codes","lineage_organization_code_1","community_organization_code_1","marriage_transactions","marriage_transactions_code","marriage_transactions_focal_year","residence_pattern","residence_code","residence_focal_year","authoritarianism","authoritarianism_code","authoritarianism_focal_year","stratification","stratification_code","stratification_focal_year","pop_density","pop_density_code","pop_density_focal_year","urbanization","urbanization_code","urbanization_focal_year","transport","transport_code","transport_focal_year","trade","trade_code","trade_focal_year","money_use","money_use_code","money_focal_year","pol.integration","pol.integration_code","pol.integration_focal_year","subsistence_type","subsistence_type_code","subsistence_type_focal_year","violent.P3P.target","violent.P3P_target_code","violent.P3P.focal_year","region","latitude","longitude","KII_score_feud"
1,"Nama",0.302498114007978,"Clans",6,1840,"Nuclear, limited polygyny",2,1840,"Patrilocal",8,1840,"Limited polygyny",2,1840,"None preferred",9,1840,"Patrilineal",1,1840,9,1,0,2,1,1,1,"Gift exchange",1,1840,"favoring formation of fraternal interest groups",2,1860,NA,NA,NA,"Hereditary slavery",2,1860,"< 1 person / sq. mile",1,1860,"100-199 persons",2,1860,"Pack Animals",2,1860,"5%",5,1860,"None",1,1860,"1 level above community",3,1860,"Domestic Animals",4,1860,"The malefactor if possible; otherwise, selected members of his kin group",2,"1860","Southern Africa",-27.5,17,0.241642153710558
2,"!Kung",-0.25049041662458,"Exogamous",4,1950,"Small extended",7,1950,"Ambilocal",2,1950,"Limited polygyny",2,1950,"None preferred",9,1950,"Bilateral",6,1950,9,1,2,2,2,0,0,"Bride-service",0,1950,"not favoring formation of fraternal interest groups",1,1950,"Ude persuasion to help organized & structure group action",1,1950,"Egalitarian",1,1950,"< 1 person / sq. mile",1,1950,"fewer than 100 persons",1,1950,"Human only",1,1950,"0%",0,1950,"None",1,1950,"Autonomous local communities",2,1950,"Gathering",7,1950,"Not applicable - violent action by the kin group is punished or kin group is not recognized as a unit to avenge transgressions against its members",0,"1950","Southern Africa",-19.83,20.58,NA
3,"Tsonga",0.975960550317081,"Clans",6,1920,"Large extended",8,1920,"Patrilocal",8,1920,"Polygyny, sororal separate",4,1920,"None preferred",9,1920,"Patrilineal",1,1920,9,2,3,2,2.5,1,1,"Bride-wealth",1,1920,"favoring formation of fraternal interest groups",2,1895,NA,NA,NA,"2 social classes, no castes/slavery",3,1895,"100 persons / sq. mile",5,1895,"fewer than 100 persons",1,1895,"Human only",1,1895,"5%",5,1895,"Alien currency",3,1895,"2 levels above community",4,1895,"SImple or Shifting Cultivation",3,1895,"Not applicable - violent action by the kin group is punished or kin group is not recognized as a unit to avenge transgressions against its members",0,"1895","South Tropical Africa",-25.83,32.33,NA
4,"Lozi",0.178677060263228,"Agamous",3,1890,"Polygyny, typical cowives pattern",5,1890,"Virilocal",10,1890,"Polygyny, non-sororal cohabit",5,1890,"None preferred",9,1890,"Ambilineal",5,1890,9,2,0,2,1,1,0,"Token bride-wealth",1,1890,NA,NA,NA,"Frequently act independently & make authoritative decisions",3,1900,"2 social classes, castes/slavery",3,1900,"5.1-25 persons/ sq. mile",3,1900,"400-999 persons",4,1900,"Human only",1,1900,"5%",5,1900,"None",1,1900,"3 levels above community",5,1900,"Advanced Agriculture",1,1900,"The malefactor only",3,"1900","South Tropical Africa",-16,23.5,0.132590158541232
5,"Mbundu",0.151626805945715,"Clans",6,1930,"Polygyny, typical cowives pattern",5,1930,"Patrilocal",8,1930,"Polygyny, non-sororal cohabit",5,1930,"MoBrDa",2,1930,"Duolateral",2,1930,2,2,0,2,1,1,1,"Bride-wealth",1,1930,NA,NA,NA,NA,NA,NA,"2 social classes, castes/slavery",3,1890,"5.1-25 persons/ sq. mile",3,1890,"100-199 persons",2,1890,"Human only",1,1890,"0%",0,1890,"Elementary forms",4,1890,"2 levels above community",4,1890,"SImple or Shifting Cultivation",3,1890,"Not applicable - violent action by the kin group is punished or kin group is not recognized as a unit to avenge transgressions against its members",0,"1890","South Tropical Africa",-12.25,16.5,NA
6,"Suku",-0.186608754167273,"Agamous",3,1910,"Polygyny, typical cowives pattern",5,1910,"Virilocal",10,1910,"Polygyny, non-sororal cohabit",5,1910,"FaSiDa",3,1910,"Matrilineal",3,1910,3,2,0,2,1,1,0,"Bride-wealth",1,1910,"favoring formation of fraternal interest groups",2,1920,"Make relatively few decisions on own w/o consultation",2,1920,"2 social classes, no castes/slavery",3,1920,"5.1-25 persons/ sq. mile",3,1920,"fewer than 100 persons",1,1920,"Human only",1,1920,"5%",5,1920,"Elementary forms",4,1920,"3 levels above community",5,1920,"SImple or Shifting Cultivation",3,1920,"Anyone in the malefactor's kin group",1,"1920","West-Central Tropical Africa",-6,18,-0.25593225096447
7,"Bemba",-0.308370692310773,"Agamous",3,1900,"Polygyny, atypical cowives pattern",4,1900,"Avuncu-uxorilocal",3,1900,"Polygyny, sororal separate",4,1900,"Cross-cousin",1,1900,"Mixed",7,1900,1,2,0,2,1,1,0,"Bride-service",0,1900,NA,NA,NA,NA,NA,NA,"2 social classes, no castes/slavery",3,1897,"1-5 persons / sq. mile",2,1897,"100-199 persons",2,1897,"Human only",1,1897,"0%",0,1897,"None",1,1897,"3 levels above community",5,1897,"SImple or Shifting Cultivation",3,1897,"Not applicable - violent action by the kin group is punished or kin group is not recognized as a unit to avenge transgressions against its members",0,"1897","South Tropical Africa",-10.5,30.5,NA
8,"Nyakyusa",-0.0867675803161825,"Agamous",3,1930,"Polygyny, typical cowives pattern",5,1930,"Neolocal",6,1930,"Polygyny, non-sororal cohabit",5,1930,"None preferred",9,1930,"Mixed",7,1930,9,2,0,0,0,1,0,"Bride-wealth",1,1930,"not favoring formation of fraternal interest groups",1,1934,"Make relatively few decisions on own w/o consultation",2,1934,"Egalitarian",1,1934,"26-100 persons  / sq. mile",4,1934,"100-199 persons",2,1934,"Human only",1,1934,"0%",0,1934,"Domestically usable particles",2,1934,"2 levels above community",4,1934,"Advanced Agriculture",1,1934,"The malefactor if possible; otherwise, selected members of his kin group",2,"1934","South Tropical Africa",-9.5,34,-0.128068909677943
9,"Hadza",-0.491119877190224,"Agamous",3,1910,"Small extended",7,1910,"Ambilocal",2,1910,"Limited polygyny",2,1910,NA,NA,NA,"Bilateral",6,1910,NA,1,2,2,2,0,0,"Bride-wealth",1,1910,NA,NA,NA,NA,NA,NA,"Egalitarian",1,1930,"< 1 person / sq. mile",1,1930,"fewer than 100 persons",1,1930,"Human only",1,1930,"0%",0,1930,"None",1,1930,"None",1,1930,"Hunting",8,1930,"Missing or conflicting information",9,"1930","East Tropical Africa",-3.75,35.18,-0.555472347360957
10,"Luguru",-0.123668669494273,"Segmented, no exogamy",2,1930,"Nuclear, limited polygyny",2,1930,"Matrilocal",5,1930,"Limited polygyny",2,1930,"MoBrDa",2,1930,"Matrilineal",3,1930,2,1,0,2,1,1,1,"Bride-wealth",1,1930,"not favoring formation of fraternal interest groups",1,1925,NA,NA,NA,"Hereditary slavery",2,1925,"100 persons / sq. mile",5,1925,"200-399 persons",3,1925,"Human only",1,1925,"5%",5,1925,"Domestically usable particles",2,1925,"Autonomous local communities",2,1925,"SImple or Shifting Cultivation",3,1925,"Not applicable - violent action by the kin group is punished or kin group is not recognized as a unit to avenge transgressions against its members",0,"1935","East Tropical Africa",-6.83,37.67,NA
