uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
03263625-dcef-4415-b487-19ed6f8c4498,"Sutlive, Vinson H.",Tun Jugah of Sarawak: colonialism and Iban response,1992,88,Monograph,Iban,Asia,Southeast Asia,horticulturalists,,"159,682,687,696",https://ehrafworldcultures.yale.edu/sres/03263625-dcef-4415-b487-19ed6f8c4498
f6646943-b89f-4292-95d5-8c0294afc543,"Sutlive, Vinson H.",Tun Jugah of Sarawak: colonialism and Iban response,1992,88,Monograph,Iban,Asia,Southeast Asia,horticulturalists,,"124,159,682,687,696",https://ehrafworldcultures.yale.edu/sres/f6646943-b89f-4292-95d5-8c0294afc543
11e0f313-db1c-4232-91b2-c7da87fb215d,"Wagner, Ulla",Colonialism and Iban warfare,1972,100,Monograph,Iban,Asia,Southeast Asia,horticulturalists,,"537,554,612,622,626,627,671,772,791",https://ehrafworldcultures.yale.edu/sres/11e0f313-db1c-4232-91b2-c7da87fb215d
881cfae0-ce1c-4df3-af4a-1a0f80080ff9,"Benedict Sandin, 1918-",Iban adat and augury,1980,xxix,Monograph,Iban,Asia,Southeast Asia,horticulturalists,,"626,681,683,753,761,774,789",https://ehrafworldcultures.yale.edu/sres/881cfae0-ce1c-4df3-af4a-1a0f80080ff9
ce8461a2-cf57-4b87-a6c8-ff4a049abfc2,"Gomes, Edwin H.","Seventeen years among the Sea Dyaks of Borneo: a record of
         intimate association with the natives of the Bornean jungles",1911,63,Monograph,Iban,Asia,Southeast Asia,horticulturalists,,"577,626,674,683,789",https://ehrafworldcultures.yale.edu/sres/ce8461a2-cf57-4b87-a6c8-ff4a049abfc2
8bc211a3-ef4f-422c-8869-8eb54ffb0dd1,"Gomes, Edwin H.","Seventeen years among the Sea Dyaks of Borneo: a record of
         intimate association with the natives of the Bornean jungles",1911,64,Monograph,Iban,Asia,Southeast Asia,horticulturalists,,"626,674,683,789",https://ehrafworldcultures.yale.edu/sres/8bc211a3-ef4f-422c-8869-8eb54ffb0dd1
ac299ba6-1fd6-4de3-9b16-ca96209d66c6,"Pringle, Robert Maxwell, 1936-","The Ibans of Sarawak under Brooke rule, 1841-1941",1968,260,Monograph,Iban,Asia,Southeast Asia,horticulturalists,,"554,622,627,631,635,681,692",https://ehrafworldcultures.yale.edu/sres/ac299ba6-1fd6-4de3-9b16-ca96209d66c6
beeb5b52-c6f4-4410-84d7-1eda22f01096,"Benedict Sandin, 1918-",Iban adat and augury,1980,xxii,Monograph,Iban,Asia,Southeast Asia,horticulturalists,,"622,627,681,684,782",https://ehrafworldcultures.yale.edu/sres/beeb5b52-c6f4-4410-84d7-1eda22f01096
f130ccf7-04d6-4358-926f-e7eddaf855e3,"Benedict Sandin, 1918-",Iban adat and augury,1980,xxvi,Monograph,Iban,Asia,Southeast Asia,horticulturalists,,"152,622,627,689",https://ehrafworldcultures.yale.edu/sres/f130ccf7-04d6-4358-926f-e7eddaf855e3
09c70bfa-f0d5-4bcb-88dd-efd9a96e1433,"Benedict Sandin, 1918-",Iban adat and augury,1980,7,Monograph,Iban,Asia,Southeast Asia,horticulturalists,,"627,671,681,692",https://ehrafworldcultures.yale.edu/sres/09c70bfa-f0d5-4bcb-88dd-efd9a96e1433
