uuid,title,text,region,subregion,subsistence,pubdate,pgno,owc_term,owc_id,original_pgno,author,docid,hl_ocm_terms,hl_ocms_id,hl_text,hl_title,hsla,lat,long,ocms_0_id,ocms_0_term,ocms_1_id,ocms_1_term,ocms_4_id,ocms_4_term,ocms_5_id,ocms_5_term,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5
"00049723-d14c-4c18-a26d-43d14b723dbf","The grass roof","“So she took an old suit of Eul-Choon's done up in a bundle, and set out as if she were going down to the stream to wash. In the millet field she changed clothes, and rubbed dust on her face instead of powder. Then she walked to the market-place and bought her ticket to Wansan with money I had given her. The boat did not leave until seven o'clock in the evening. All day she waited sitting in a corner of a wine-house.","Asia","East Asia","intensive agriculturalists","1931","382","Korea","aa01","308-309","Kang, Younghill","aa01-003","Social Control","626","","","hsla(331.02,95.43%,90.00%,0.840)","37.6","126.42","155","Personality Development","484","Travel","","","","","PSF","PSF","","","",""
"0005aca9-b096-4706-b8d1-6e4e543f6f68","Coast Lapp society, II: a study of economic development and social values","Thus the fishermen hoped to remain anonymous. Thus B[unknown] ardsen took his personal punitive action against the witness and this offence was not reported: everyone saw it for what it was -- an act with a dyadic reference. Thus also the threat to report a personal enemy is ineffective in Nordbotn (though I heard it made on occasions). The two sanctions mentioned in the previous paragraph are of great importance in small communities; inhabitants know so much about each other and probably only a few of them have a blameless record. Where these sanctions fail, there appears to be none in the fact that if A reports B, B will find a reason to report A. Such is the situation in another fjord community investigated; 1 By Harald Eidheim, University of Oslo. but in that community the influence of L[unknown] stadian teaching is hardly perceptible, so we may suppose the sense of corporateness vis-à-vis the outside world to be much weaker than in Nordbotn. It is this corporateness that explains the sanctions just noted in Nordbotn (cf. p. 133, above).","Europe","Scandinavia","pastoralists","1965","176","Saami","ep04","153","Paine, Robert","ep04-014","Informal in-Group Justice","627","","","hsla(79.14,95.28%,85.65%,0.810)","68.7","21.5","156","Social Personality","578","Ingroup Antagonisms","","","","","PSF","PSF","","","",""
"000958d3-6e9d-4da8-9ddb-7424d2c2cee6","Ashanti law and constitution","( a ) Ahoya and ( b ) Nkyisem: These terms may perhaps be bracketed, as the words appear very often to be used synonymously. Ahoya means literally ‘something that makes the body feel sore’; Nkyisem, ‘words said behind the back’. You have a case against the person doing so, even if the words were true. 1 1 ‘The greater the truth the greater the libel.’ The person has said something against you without any good reason, something that has hurt you. If you swore an ‘oath’ and the case were taken before the Chief, you might not gain anything but the satisfaction of seeing the slanderer punished, perhaps even (in olden days) losing his head. If settled as an Efiesem, you will receive pata (conciliation money). 2 2 See p. 389.","Africa","Western Africa","horticulturalists","1929","416","Akan","fe12","p. 326","Rattray, R. S. (Robert Sutherland), 1881-1938","fe12-003","Informal in-Group Justice","627","","","hsla(65.27,95.38%,82.20%,0.830)","7","-1.5","578","Ingroup Antagonisms","627","Informal in-Group Justice","","","","","EA (entire)","PSF","SCCS (entire)","PSF","",""
"000bf140-8e7b-4698-8a81-9d11b95f1286","Dogon games","When a dispute arises between two children, one of them can propose doing “the ordeal of the binou”. For this purpose he takes, in his two open hands placed one against the other, a handful of dirt upon which one places a small piece of wood called binu . The two adversaries squat, one of them with his face above the two open hands resting on the ground (fig. 125, 252 cont. below). At this moment the dirt is thrown quickly into the bent face; if the victim makes as though he is going to protect himself with his hands he is considered to have lost. If not, when his turn comes he makes his adversary submit to the same test. If none of the two children has made a defensive gesture, it is the one who has the most dirt in his eyes that is declared the loser.","Africa","Western Africa","intensive agriculturalists","1938","241","Dogon","fa16","238","Griaule, Marcel, 1898-1956","fa16-013","Informal in-Group Justice","627","","","hsla(65.27,95.43%,81.29%,0.790)","15.06","-2.92","578","Ingroup Antagonisms","627","Informal in-Group Justice","","","","","PSF","","","","",""
"000ec3da-4d1d-4891-b80a-b7ab574399d3","Tiv economy","A woman occasionally refuses to give her husband yams. We know of two cases in which this has happened. In one the man forcibly took two yams from his wife and gave her a cuffing. He said that if his request had been unreasonable he would not have dared such a thing or she would have left him. In the other case, the head of a large compound (eighteen adult males) needed a large supply of yams to feed a group of people who were coming to his compound for a ritual and feast. He asked his own wives to give him a portion of the yams that would be needed. Each complied ungrudgingly. He then asked the other men in the compound (exclusive of his own sons, whose wives’ shares came from their mothers-in-law) to ask their wives for yams. The food was to be pooled and cooked publicly by all the women. One woman refused. The compound head told the husband that she could not refuse; the husband took the food and punished the recalcitrant wife. All the women of the compound agreed that she was wrong—on such an occasion she should have given her husband the yams required because the hospitality and the rite were for the benefit of the entire compound.","Africa","Western Africa","horticulturalists","1968","146","Tiv","ff57","133","Bohannan, Paul","ff57-032","Sanctions","681","","","hsla(65.27,95.38%,77.30%,0.780)","7.25","9","244","Vegetable Production","431","Gift Giving","578","Ingroup Antagonisms","592","Household","EA (entire)","PSF","SCCS (entire)","PSF","",""
"0015c728-c4e6-46a6-9a10-e5b401222ffd","A Study of women's position among the Garo","After marriage, S was living in the family of B and 2 years after the marriage, a girl was born to the couple. The marital life of S and B was happy. But the relation of S with his mother-in-law was not good. The mother-in-law accused him of laziness and failing in his duty to maintain the family properly. Actually S tried his best to earn a decent income for the family. From this the quarrel grew, until the mother-in-law called her chra and asked S and B to separate. The chra supported her demand, because the matter mainly concerned her, and the chra also did not like that B’s mother should come again and again to them to complain against S. Ultimately S separated, though he continued to visit his wife and child occasionally. The separation took place 2½ years after the marriage. About 6 months after separation, the chra tried to bring in another husband for B and her mother. He was brought once to live with them, but he refused and went away.","Asia","South Asia","horticulturalists","1965","9","Garo","ar05","33","Goswami, M. C.","ar05-021","Sex and Marital Offenses","684","","","hsla(331.17,95.26%,84.95%,0.800)","26","91","578","Ingroup Antagonisms","606","Parents-in-Law and Children-in-Law","","","","","PSF","PSF","","","",""
"0016c1ff-99d1-43b2-a843-7c5e1e20576b","Primitive Polynesian economy","The question may be asked: Why does not an enterprising indiyidual then plant large quantities of the vacant land of others? Some of the restraining factors are the limitations of his own physical energy, his difficulty in mustering constantly large supplies of labour to assist him, his difficulty in accumulating a sufficiency of seed tops, and the competition of other planters. Of another type are such factors as social disapproval at his grabbing so much more than his normal area, and the repercussions of the chiefs' interpretation that he was intending to elevate himself at their expense. But again, to the Tikopia such a question would be without significance, for to them greatly increased production must be motivated by some definite ceremonial requirement, and they fail to see how excess accumulation can be utilized. Within their social system some sort of equilibrium has been established between production and social requirements, and they fail to appreciate the pressure of the abstract drive to economic gain which operates--or is said to operate--in our society. In the absence of a price mechanism to provide a common denominator of values, of a convenient store of wealth given by money, and of a wide range of objects for individual consumption, unlimited acquisition is debarred. The general social equilibrium and the specific organization are against it. Moreover, there is no socially recognized mechanism for the display of quantities of accumulated goods--as is offered, for example, in the Trobriands. The Tikopia are not without the desire to increase their wealth or to see that reciprocity is obtained for a gift. In some circumstances, as in the acquisition of European goods, they display a keenness which amounts even to greed. But this desire for acquisition operates within the sphere of their social values. Put another way it may be said that the particular code regulating their use of material goods inhibits to a considerable extent the profit motive per se and limits the extent of production.","Oceania","Polynesia","other subsistence combinations","1939","68","Tikopia","ot11","60","Firth, Raymond, 1901-2002","ot11-001","Social Control","626","","","hsla(242.33,95.25%,82.47%,0.840)","-12.29","168.83","152","Drives and Emotions","241","Tillage","626","Social Control","","","SCCS (entire)","PSF","EA (entire)","PSF","",""
"001a46d0-0eca-4a86-9485-877501890658","Dominance and defiance: a study of marital instability in an Islamic African society","The interesting points here for our purposes are first of all the very clear and legal conception of marital dissolution held by the Kanuri. The woman who runs away without a divorce and remarries has in effect broken the law. Only after a legal divorce can remarriage occur. Thus desertion by a spouse cannot sever the union until the divorce is formalized. Secondly, it should be noted that in Kanuri eyes men, not women, are dominantly responsible for marriage, including the woman’s side of the union. It is her luwali who is questioned when she remarried—for without his sanction the marriage could not have taken place. Indeed, in cases of illegal marriage by a runaway woman the judge will say, “Who is in charge of this woman’s marriage?—Who is the luwali? ” Thus even on the woman’s side men are responsible for her actions. In effect, then, she is more like a ward than a free adult citizen of the state.","Africa","Western Africa","intensive agriculturalists","1971","128","Kanuri","ms14","119","Cohen, Ronald","ms14-006","Sex and Marital Offenses","684","","","hsla(65.27,95.26%,81.71%,0.810)","11.8863","16.3918","429","Administration","584","Arranging a Marriage","684","Sex and Marital Offenses","","","PSF","","","","",""
"00226368-c2a5-4b31-97c8-347a67e42109","Traditions and institutions of the Santals","When a man and a woman run away to another country to live together, we call this an elopement. A woman who has a husband, or a related woman or girl, whom it is not permissible to marry, such ones they elope with, fearing the husband, or fearing to be outcasted.","Asia","South Asia","intensive agriculturalists","1942","91","Santal","aw42","82","Skrefsrud, Lars Olsen, 1840-1910","aw42-002","Sex and Marital Offenses","684","","","hsla(331.17,95.22%,78.26%,0.830)","23.5","87.17","684","Sex and Marital Offenses","","","","","","","PSF","PSF","","","",""
"0024b04a-9ac1-498b-be10-69154a2a16f2","Report on the Iban of Sarawak: Vol. 1: Iban social organization","154. Iban legal procedure is the reverse of formal, and even the most revered of tuai rumah is able to exert little control over the disputants. The hearing of a case is accepted as an occasion for the public expression of grievance and annoyance, and very often as many as six or seven persons--both judged and judging--will join in simultaneous vociferation for protracted periods. But, in course of time, feelings are assuaged or exhausted, and the panel of arbiters come to their decision. If their judgement be accepted, the fine is handed over to the tuai rumah for division. In the case of serious delicts, a fixed proportion of the fine must be paid to Government, otherwise it is handed over to the plaintiff, but only after the fees of the panel of arbiters have been deducted. These fees ( lantan ) vary from case to case; but they may comprise anything from 10% to 50% of the total fine. However this seldom amounts to more than about $1 for each man involved, and frequently (when there are a number of arbiters) individual shares fall well below this figure. The various lantan paid to a tuai rumah , are the only kind of recompense which he receives in reward for his services.","Asia","Southeast Asia","horticulturalists","1955","58","Iban","oc06","49","Freeman, Derek","oc06-015","Execution of Justice","696","","","hsla(331.55,95.40%,84.37%,0.790)","2","113","693","Legal and Judicial Personnel","695","Trial Procedure","","","","","SCCS (entire)","PSF","EA (entire)","PSF","",""
