id,name
SCCS150-SCCS1-1,Nomadic (1860) [Gei/Khauan tribe]
SCCS150-SCCS10-1,Sedentary (1925) [Morogoro District]
SCCS150-SCCS100-1,Sedentary (1930) [Ravenga District]
SCCS150-SCCS101-1,Sedentary (1953) [Bunlap village]
SCCS150-SCCS102-1,"Sedentary (1840) [Bau Chiefdom, Vanua Levu]"
SCCS150-SCCS103-1,Sedentary (1845) [Neje Chiefdom]
SCCS150-SCCS104-1,Sedentary (1820) [Nga Puhi Tribe]
SCCS150-SCCS105-1,Sedentary (1800) [Te-i'i Chiefdom S.W. Nuku Hiva]
SCCS150-SCCS106-1,Sedentary (1829) [Aana in Western Upolu Island]
SCCS150-SCCS107-1,Sedentary (1890) [Makin and Butiritari Islands (N)]
SCCS150-SCCS108-1,Sedentary (1900) [Jaluit Atoll]
SCCS150-SCCS109-1,Sedentary (1947) [Romonum Island]
SCCS150-SCCS11-1,Sedentary (1920) [Fort Hall or Metume District]
SCCS150-SCCS110-1,Sedentary (1910) [Island]
SCCS150-SCCS111-1,Sedentary (1947) [Ulimang village]
SCCS150-SCCS112-1,Sedentary (1910) [Kiangan group]
SCCS150-SCCS113-1,Sedentary; impermanent (1930) [Tribe (excluding Sedeq)]
SCCS150-SCCS114-1,"Sedentary (1936) [Kaihsienkung village, Chekiang]"
SCCS150-SCCS115-1,Sedentary (1915) [Aigun District]
SCCS150-SCCS116-1,Sedentary (1947) [Kanghwa Island]
SCCS150-SCCS117-1,Sedentary (1950) [Southern Okayama]
SCCS150-SCCS118-1,Semisedentary (1880) [Saru Basin in Hokkaido]
SCCS150-SCCS119-1,Seminomadic (1890) [Sakhalin Island]
SCCS150-SCCS12-1,Sedentary (1875) [Kyaddondo district (V: Kampala)]
SCCS150-SCCS120-1,Nomadic (1850) [Upper Kolyma River]
SCCS150-SCCS121-1,Seminomadic (1900) [Reindeer division]
SCCS150-SCCS122-1,Semisedentary (1885) [Shageluk village]
SCCS150-SCCS123-1,Semisedentary (1824) [Unalaska branch]
SCCS150-SCCS124-1,Seminomadic (1915) [Coronation Gulf]
SCCS150-SCCS125-1,Seminomadic (1910) [Lake St. John & Mistassahi band]
SCCS150-SCCS126-1,Seminomadic (1650) [Mainland division]
SCCS150-SCCS127-1,Seminomadic (1930) [Berens River band]
SCCS150-SCCS128-1,Semisedentary (1940) [Lynx Point band]
SCCS150-SCCS129-1,Seminomadic (1900) [Upper Liard River group]
SCCS150-SCCS13-1,"Nomadic (1950) [Epulu net-hunters, Ituri forest]"
SCCS150-SCCS130-1,Semisedentary (1890) [Tribe]
SCCS150-SCCS131-1,Semisedentary (1875) [Masset town]
SCCS150-SCCS132-1,"Sedentary (1880) [Central group, lower B.C. River]"
